,Date
1386,03/22/18
1387,03/23/18
1388,03/26/18
1389,03/27/18
1390,03/28/18
1391,04/02/18
1392,04/03/18
1393,04/04/18
1394,04/05/18
1395,04/06/18
1396,04/09/18
1397,04/10/18
1398,04/11/18
1399,04/12/18
1400,04/13/18
1401,04/16/18
1402,04/17/18
1403,04/18/18
1404,04/19/18
1405,04/20/18
1406,04/23/18
1407,04/24/18
1408,04/25/18
1409,04/26/18
1410,04/27/18
1411,04/30/18
1412,05/02/18
1413,05/03/18
1414,05/04/18
1415,05/07/18
1416,05/08/18
1417,05/09/18
1418,05/10/18
1419,05/11/18
1420,05/14/18
1421,05/15/18
1422,05/16/18
1423,05/17/18
1424,05/18/18
1425,05/21/18
1426,05/22/18
1427,05/23/18
1428,05/24/18
1429,05/25/18
1430,05/28/18
1431,05/29/18
1432,05/30/18
1433,05/31/18
1434,06/01/18
1435,06/04/18
1436,06/05/18
1437,06/06/18
1438,06/07/18
1439,06/08/18
1440,06/11/18
1441,06/12/18
1442,06/13/18
1443,06/14/18
1444,06/15/18
1445,06/18/18
1446,06/19/18
1447,06/20/18
1448,06/21/18
1449,06/22/18
1450,06/25/18
1451,06/26/18
1452,06/27/18
1453,06/28/18
1454,06/29/18
1455,07/02/18
1456,07/03/18
1457,07/04/18
1458,07/05/18
1459,07/06/18
1460,07/09/18
1461,07/10/18
1462,07/11/18
1463,07/12/18
1464,07/13/18
1465,07/16/18
1466,07/17/18
1467,07/18/18
1468,07/19/18
1469,07/20/18
1470,07/23/18
1471,07/24/18
1472,07/25/18
1473,07/26/18
1474,07/27/18
1475,07/30/18
1476,07/31/18
1477,08/01/18
1478,08/02/18
1479,08/03/18
1480,08/06/18
1481,08/07/18
1482,08/08/18
1483,08/09/18
1484,08/10/18
1485,08/13/18
1486,08/14/18
1487,08/16/18
1488,08/17/18
1489,08/20/18
1490,08/21/18
1491,08/23/18
1492,08/24/18
1493,08/27/18
1494,08/28/18
1495,08/29/18
1496,08/30/18
1497,08/31/18
1498,09/03/18
1499,09/04/18
1500,09/05/18
1501,09/06/18
1502,09/07/18
1503,09/10/18
1504,09/11/18
1505,09/12/18
1506,09/14/18
1507,09/17/18
1508,09/18/18
1509,09/19/18
1510,09/21/18
1511,09/24/18
1512,09/25/18
1513,09/26/18
1514,09/27/18
1515,09/28/18
1516,10/01/18
1517,10/03/18
1518,10/04/18
1519,10/05/18
1520,10/08/18
1521,10/09/18
1522,10/10/18
1523,10/11/18
1524,10/12/18
1525,10/15/18
1526,10/16/18
1527,10/17/18
1528,10/19/18
1529,10/22/18
1530,10/23/18
1531,10/24/18
1532,10/25/18
1533,10/26/18
1534,10/29/18
1535,10/30/18
1536,10/31/18
1537,11/01/18
1538,11/02/18
1539,11/05/18
1540,11/06/18
1541,11/07/18
1542,11/09/18
1543,11/12/18
1544,11/13/18
1545,11/14/18
1546,11/15/18
1547,11/16/18
1548,11/19/18
1549,11/20/18
1550,11/21/18
1551,11/22/18
1552,11/26/18
1553,11/27/18
1554,11/28/18
1555,11/29/18
